layer,kl_mean,kl_std,method,model
8,19.834408,1.8886298,fp8,google_gemma-3-4b-it
9,19.64986,2.3558323,fp8,google_gemma-3-4b-it
10,19.63249,2.5603447,fp8,google_gemma-3-4b-it
11,19.488857,2.7395911,fp8,google_gemma-3-4b-it
12,19.195406,3.0483463,fp8,google_gemma-3-4b-it
13,18.98256,3.2382386,fp8,google_gemma-3-4b-it
14,18.488857,3.7376807,fp8,google_gemma-3-4b-it
15,18.21274,3.9775689,fp8,google_gemma-3-4b-it
16,17.51904,4.088055,fp8,google_gemma-3-4b-it
17,16.412678,4.598699,fp8,google_gemma-3-4b-it
18,15.5805855,4.773141,fp8,google_gemma-3-4b-it
19,15.170254,4.8403115,fp8,google_gemma-3-4b-it
20,14.224047,4.9818807,fp8,google_gemma-3-4b-it
21,13.531782,4.9611726,fp8,google_gemma-3-4b-it
22,12.885381,4.9888873,fp8,google_gemma-3-4b-it
23,12.418497,5.05342,fp8,google_gemma-3-4b-it
24,12.114117,5.0836806,fp8,google_gemma-3-4b-it
25,12.072849,5.0494657,fp8,google_gemma-3-4b-it
26,11.629779,5.19347,fp8,google_gemma-3-4b-it
27,11.382532,5.514406,fp8,google_gemma-3-4b-it
28,11.487793,5.534691,fp8,google_gemma-3-4b-it
29,11.895644,5.5497465,fp8,google_gemma-3-4b-it
30,12.357194,5.8283854,fp8,google_gemma-3-4b-it
31,12.446346,6.0494328,fp8,google_gemma-3-4b-it
32,12.3061,6.168976,fp8,google_gemma-3-4b-it
33,12.576629,6.3938537,fp8,google_gemma-3-4b-it
0,20.349663,0.45645982,int4,google_gemma-3-4b-it
1,20.090893,0.5554231,int4,google_gemma-3-4b-it
2,20.088379,0.61763984,int4,google_gemma-3-4b-it
3,20.181782,0.54965603,int4,google_gemma-3-4b-it
4,20.218428,0.5522139,int4,google_gemma-3-4b-it
5,20.206171,0.5821407,int4,google_gemma-3-4b-it
6,20.210928,0.5738145,int4,google_gemma-3-4b-it
7,20.195217,0.5823792,int4,google_gemma-3-4b-it
8,20.215286,0.57060605,int4,google_gemma-3-4b-it
9,20.21754,0.5737629,int4,google_gemma-3-4b-it
10,20.245958,0.56552935,int4,google_gemma-3-4b-it
11,20.236563,0.5730364,int4,google_gemma-3-4b-it
12,20.192924,0.5886626,int4,google_gemma-3-4b-it
13,20.158432,0.5296723,int4,google_gemma-3-4b-it
14,20.134165,0.5969494,int4,google_gemma-3-4b-it
15,20.098988,0.63604635,int4,google_gemma-3-4b-it
16,19.98785,0.6647367,int4,google_gemma-3-4b-it
17,19.933767,0.58051306,int4,google_gemma-3-4b-it
18,19.886398,0.59172034,int4,google_gemma-3-4b-it
19,19.818663,0.6009581,int4,google_gemma-3-4b-it
20,19.773417,0.5843406,int4,google_gemma-3-4b-it
21,19.732,0.6329707,int4,google_gemma-3-4b-it
22,19.69234,0.5932966,int4,google_gemma-3-4b-it
23,19.740255,0.61137253,int4,google_gemma-3-4b-it
24,19.719194,0.60494655,int4,google_gemma-3-4b-it
25,19.688103,0.5909297,int4,google_gemma-3-4b-it
